id,ts
1799146,1671928612
1799147,1672011412
1799145,1672015009
1799148,1672018562
1799149,1672022162
1799152,1672025763
1799153,1672029363
1799150,1672032964
1799151,1672036559
1799163,1672040091
1799170,1672043691
1799159,1672047292
1799164,1672050892
1799171,1672054492
1799165,1672058093
1799160,1672061693
1799161,1672065294
1799172,1672068894
1799167,1672072494
1799162,1672076095
1799168,1672079695
1799166,1672083288
1799323,1672086886
1799324,1672090486
1799326,1672094083
1799780,1672097623
1799778,1672101224
1799772,1672104824
1799773,1672108424
1799774,1672112025
1799775,1672115625
1799776,1672119225
1799777,1672122825
1799779,1672126420
1800532,1672129929
1800535,1672133529
1800536,1672137130
1800541,1672140730
1800533,1672144330
1800545,1672147931
1800546,1672151531
1800537,1672155132
1800538,1672158732
1800542,1672162332
1800539,1672165933
1800534,1672169534
1800548,1672173134
1800549,1672176734
1800531,1672180326
1800807,1672187507
1800806,1672191108
1800804,1672194708
1800803,1672198304
1800960,1672201876
1800961,1672205477
1800959,1672209073
1801375,1672212630
1801372,1672216231
1801367,1672219831
1801373,1672223432
1801370,1672227032
1801371,1672230632
1801368,1672234233
1801369,1672237827
1801475,1672241415
1801474,1672245012
1801887,1672248570
1801890,1672252171
1801883,1672255771
1801881,1672259372
1801888,1672262973
1801884,1672266573
1801891,1672270173
1801886,1672273767
1802063,1672277362
1802060,1672280963
1802058,1672284559
1802115,1672288153
1802169,1672291745
1802323,1672295323
1802326,1672298923
1802325,1672302520
1802487,1672306099
1802488,1672309700
1802486,1672313296
1802644,1672316886
1802648,1672320486
1802647,1672324083
1802701,1672327672
1803136,1672334836
1803142,1672338436
1803137,1672342037
1803138,1672345637
1803139,1672349238
1803140,1672352838
1803146,1672356433
1803583,1672360001
1803575,1672363601
1803584,1672367201
1803580,1672370802
1803581,1672374402
1803582,1672378002
1803586,1672381603
1803579,1672385197
1803697,1672388793
1803694,1672392390
1803976,1672395955
1803977,1672399555
1803978,1672403156
1803981,1672406756
1803979,1672410352
1804476,1672413919
1804477,1672417519
1804472,1672421120
1804473,1672424720
1804478,1672428321
1804474,1672431921
1804470,1672435516
1804534,1672439112
1804704,1672442701
1804705,1672446301
1804702,1672449898
1804758,1672453493
1805161,1672457041
1805159,1672460641
1805155,1672464241
1805160,1672467842
1805162,1672471442
1805156,1672475042
1805158,1672478637
1805223,1672482232
1805390,1672485819
1805385,1672489420
1805388,1672493016
1805500,1672496611
1805496,1672500208
1805554,1672503801
1805675,1672507397
1805670,1672510994
1805787,1672514581
1805781,1672518178
1805895,1672521774
1805893,1672525371
1805952,1672528964
1806116,1672532548
1806117,1672536148
1806121,1672539744
1806227,1672543337
1806228,1672546934
1806935,1672550488
1806939,1672554088
1806936,1672557688
1806940,1672561289
1806932,1672564889
1806933,1672568489
1806931,1672572084
1806995,1672575681
1807220,1672579264
1807224,1672582865
1807225,1672586465
1807228,1672590061
1807282,1672593654
1807506,1672597246
1807509,1672600846
1807507,1672604447
1807503,1672608043
1807567,1672611638
1807682,1672615226
1807675,1672618823
1807734,1672622411
1807849,1672626002
1807853,1672629599
1807964,1672633192
1807968,1672636788
1808024,1672640382
1808138,1672643970
1808137,1672647567
1808198,1672651164
1808600,1672654723
1808595,1672658323
1808601,1672661923
1808604,1672665524
1808605,1672669124
1808596,1672672725
1808594,1672676319
1808773,1672679913
1808774,1672683514
1808775,1672687110
1809165,1672690666
1809170,1672694266
1809166,1672697866
1809172,1672701466
1809171,1672705067
1809173,1672708667
1809164,1672712262
1809229,1672715857
1809335,1672719445
1809337,1672723042
1809453,1672726634
1809452,1672730231
1809622,1672733810
